=== Shared String - Reader-Writer Problem ===
Mode: writer_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[22:42:30.237] [W6] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.243] [W2] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.245] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.248] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.249] [W5] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.250] [W1] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.251] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.254] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.258] [W3] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.262] [W7] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.264] [W8] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.268] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.272] [W4] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.288] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.288] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.294] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.295] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:42:30.295] [W5] wrote: "Test"
[22:42:30.300] [W1] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.301] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.313] [W6] wrote: "Test"
[22:42:30.319] [W7] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.323] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.329] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.329] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.337] [W2] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.337] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.339] [W3] wrote: "Test"
[22:42:30.340] [W8] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.349] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.354] [W4] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.356] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.361] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.370] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:42:30.371] [W2] wrote: "Test"
[22:42:30.372] [W3] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.373] [W1] wrote: "Test"
[22:42:30.380] [W5] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.383] [W7] wrote: "!"
[22:42:30.384] [R5] read: "!"
[22:42:30.384] [R2] read: "!"
[22:42:30.385] [R1] read: "!"
[22:42:30.389] [W4] wrote: "Test"
[22:42:30.399] [W6] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.403] [R4] read: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.410] [R3] read: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.416] [W1] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.422] [W2] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.422] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.426] [W8] wrote: "Test"
[22:42:30.428] [R4] read: "Test"
[22:42:30.429] [R5] read: "Test"
[22:42:30.430] [R1] read: "Test"
[22:42:30.431] [W5] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.437] [W3] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.439] [W4] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.444] [R3] read: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.448] [W7] wrote: "Context switching between threads has performance overhead costs."
[22:42:30.450] [W6] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.453] [W1] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.456] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.457] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.466] [W8] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.478] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.486] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.489] [R4] read: "Lock-free data structures use atomic operations for synchronization."
[22:42:30.491] [W5] wrote: "!"
[22:42:30.495] [W3] wrote: "!"
[22:42:30.495] [R3] read: "!"
[22:42:30.501] [W7] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:42:30.502] [W4] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.503] [W1] wrote: "!"
[22:42:30.508] [W8] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.510] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.515] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.520] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.520] [W2] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.536] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.538] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:42:30.547] [W6] wrote: "!"
[22:42:30.548] [R3] read: "!"
[22:42:30.551] [R4] read: "!"
[22:42:30.553] [W4] wrote: "!"
[22:42:30.556] [W1] wrote: "Context switching between threads has performance overhead costs."
[22:42:30.560] [R5] read: "Context switching between threads has performance overhead costs."
[22:42:30.570] [R2] read: "Context switching between threads has performance overhead costs."
[22:42:30.573] [W8] wrote: "!"
[22:42:30.576] [R1] read: "!"
[22:42:30.579] [W2] wrote: "!"
[22:42:30.590] [W5] wrote: "Context switching between threads has performance overhead costs."
[22:42:30.593] [W3] wrote: "Context switching between threads has performance overhead costs."
[22:42:30.593] [R3] read: "Context switching between threads has performance overhead costs."
[22:42:30.595] [W7] wrote: "A"
[22:42:30.596] [R5] read: "A"
[22:42:30.600] [R4] read: "A"
[22:42:30.602] [R1] read: "A"
[22:42:30.605] [R2] read: "A"
[22:42:30.609] [W6] wrote: "Context switching between threads has performance overhead costs."
[22:42:30.609] [W2] wrote: "Context switching between threads has performance overhead costs."
[22:42:30.622] [R4] read: "Context switching between threads has performance overhead costs."
[22:42:30.626] [R2] read: "Context switching between threads has performance overhead costs."
[22:42:30.633] [W7] wrote: "Hello World!"
[22:42:30.638] [R3] read: "Hello World!"
[22:42:30.643] [W4] wrote: "Context switching between threads has performance overhead costs."
[22:42:30.643] [W1] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:42:30.644] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:42:30.649] [W6] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:42:30.653] [W8] wrote: "Context switching between threads has performance overhead costs."
[22:42:30.657] [R1] read: "Context switching between threads has performance overhead costs."
[22:42:30.659] [R2] read: "Context switching between threads has performance overhead costs."
[22:42:30.661] [R3] read: "Context switching between threads has performance overhead costs."
[22:42:30.666] [W5] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:42:30.674] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:30.676] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:42:30.680] [W3] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:42:30.681] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:42:30.683] [W8] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:42:30.683] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:42:30.684] [W1] wrote: "A"
[22:42:30.689] [R2] read: "A"
[22:42:30.695] [R5] read: "A"
[22:42:30.700] [W2] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:42:30.709] [W6] wrote: "A"
[22:42:30.715] [W3] wrote: "A"
[22:42:30.715] [W5] wrote: "A"
[22:42:30.716] [R1] read: "A"
[22:42:30.719] [R5] read: "A"
[22:42:30.719] [R3] read: "A"
[22:42:30.725] [R4] read: "A"
[22:42:30.740] [R5] read: "A"
[22:42:30.741] [W1] wrote: "Hello World!"
[22:42:30.743] [W4] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:42:30.744] [W8] wrote: "A"
[22:42:30.747] [R2] read: "A"
[22:42:30.748] [W5] wrote: "Hello World!"
[22:42:30.749] [W6] wrote: "Hello World!"
[22:42:30.762] [R1] read: "Hello World!"
[22:42:30.764] [W7] wrote: "Operating systems manage hardware and software resources."
[22:42:30.765] [R3] read: "Operating systems manage hardware and software resources."
[22:42:30.767] [R4] read: "Operating systems manage hardware and software resources."
[22:42:30.773] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:30.774] [W2] wrote: "A"
[22:42:30.791] [R2] read: "A"
[22:42:30.793] [R5] read: "A"
[22:42:30.797] [R1] read: "A"
[22:42:30.804] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:30.808] [W1] wrote: "Operating systems manage hardware and software resources."
[22:42:30.808] [R4] read: "Operating systems manage hardware and software resources."
[22:42:30.814] [W3] wrote: "Hello World!"
[22:42:30.821] [W2] wrote: "Hello World!"
[22:42:30.822] [R3] read: "Hello World!"
[22:42:30.824] [R2] read: "Hello World!"
[22:42:30.827] [R5] read: "Hello World!"
[22:42:30.827] [W8] wrote: "Hello World!"
[22:42:30.840] [W4] wrote: "A"
[22:42:30.843] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:30.847] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:42:30.847] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:42:30.851] [W7] wrote: "X"
[22:42:30.854] [W1] wrote: "X"
[22:42:30.855] [R5] read: "X"
[22:42:30.864] [R4] read: "X"
[22:42:30.872] [R2] read: "X"
[22:42:30.874] [W5] wrote: "Operating systems manage hardware and software resources."
[22:42:30.875] [R3] read: "Operating systems manage hardware and software resources."
[22:42:30.878] [R1] read: "Operating systems manage hardware and software resources."
[22:42:30.878] [R5] read: "Operating systems manage hardware and software resources."
[22:42:30.880] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:30.894] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:30.899] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:30.902] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:42:30.905] [W4] wrote: "Hello World!"
[22:42:30.914] [W5] wrote: "X"
[22:42:30.915] [R2] read: "X"
[22:42:30.919] [R3] read: "X"
[22:42:30.924] [R4] read: "X"
[22:42:30.924] [W6] wrote: "Operating systems manage hardware and software resources."
[22:42:30.927] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:42:30.929] [W8] wrote: "Operating systems manage hardware and software resources."
[22:42:30.935] [R1] read: "Operating systems manage hardware and software resources."
[22:42:30.935] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:30.943] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:42:30.950] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:42:30.951] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:42:30.959] [W2] wrote: "Operating systems manage hardware and software resources."
[22:42:30.968] [R2] read: "Operating systems manage hardware and software resources."
[22:42:30.973] [R1] read: "Operating systems manage hardware and software resources."
[22:42:30.974] [R3] read: "Operating systems manage hardware and software resources."
[22:42:30.977] [R4] read: "Operating systems manage hardware and software resources."
[22:42:30.984] [R5] read: "Operating systems manage hardware and software resources."
[22:42:30.986] [W8] wrote: "X"
[22:42:30.988] [W3] wrote: "Operating systems manage hardware and software resources."
[22:42:30.996] [R3] read: "Operating systems manage hardware and software resources."
[22:42:30.998] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:42:30.999] [W5] wrote: "Readers and writers must coordinate access to shared data."
